TargetType,InstructorName,CourseNumber,CourseName,QuestionKey,QuestionHeader,RawText,TextClean,Label
Instructor,Raymond Maple,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,how slow paced the course is. It allows me to have more time to learn and practice.,slow paced course allows time learn practice,Positive
Instructor,Raymond Maple,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,I like how they took their time and made sure everyone understood what was being taught,like took time made sure everyone understood taught,Positive
Instructor,Raymond Maple,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"Not much to me, as I don't feel like his teaching style matches how i learn.",not much feel like teaching style matches learn,Neutral
Instructor,Raymond Maple,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,"Mr. Maple was extremely knowledgeable about the subject he was teaching, and always cultivated a comfortable learning environment.",[person] extremely knowledgeable subject teaching always cultivated comfortable learning environment,Positive
Instructor,Raymond Maple,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:,Mr. Maple was amazing to have as a teacher!,[person] amazing teacher,Positive
Instructor,Raymond Maple,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,They were always around to help in class and would awnser questions.,always around help class would awnser questions,Negative
Instructor,Raymond Maple,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_79a4ba9a4a,Other Comments – giving you the space to provide additional context on why you rated any of the above INSTRUCTOR questions the way you did:,"Overall, he is a fine professor, however he does not seem to know what he is talking about, and does not put any effort into presentations, lectures, and assignments. I loved the actual AI degree professor as he was knowledgeable in this area and think he would be better teaching this class if possible.",overall fine professor however not seem know talking not put effort presentations lectures assignments loved actual degree professor knowledgeable area think would better teaching class possible,Negative
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,how the work seemed to actually be aimed towards an introduction. Mr. Maple didn't teach in a way that seemed he assumed we already knew what we were learning!,work seemed actually aimed towards introduction [person] teach way seemed assumed already knew learning,Positive
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I enjoyed this course because it was an easy A.,enjoyed course easy,Neutral
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_e6a48d0e84,What aspects of this course would you like to see improved?,i would like to see some stuff that is a bit more challenging because the class felt to easy.,would like see stuff bit challenging class felt easy,Neutral
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_1ccd0cb219,Other Comments – giving you the space to provide additional context on why you rated any of the above COURSE questions the way you did:,The course did exactly what the syllabus said it was going to do.,course exactly [org] said going,Neutral
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,I like how it showed some of the behind the scenes of how some AI's work,like showed behind scenes [gpe] work,Positive
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,Getting to mess around with AIs,getting mess around ais,Neutral
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_e6a48d0e84,What aspects of this course would you like to see improved?,Prefer to not critique things that work for others but not me.,prefer not critique things work others not,Neutral
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,"I liked the different software we used to learn about AI, and the different fields of it we learned about.",liked different software used learn [gpe] different fields learned,Positive
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_e6a48d0e84,What aspects of this course would you like to see improved?,I think some more comprehensive reading or research into some of the topics taught before assignments were assigned would be beneficial.,think comprehensive reading research topics taught assignments assigned would beneficial,Positive
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_79331b98eb,What  specifically  did you like about this course and its curriculum?,While the material is fine the professor did not effectively teach it and most research had to be done on my own time.,material fine professor not effectively teach research done time,Neutral
Course,,AAI101-SA1 1,Introduction to Artificial Intelligence - Section A1,q_e6a48d0e84,What aspects of this course would you like to see improved?,"More relevant professor, and making sure the assessment material is being taught and is relevant.",relevant professor making sure assessment material taught relevant,Neutral
Instructor,Joseph Shull,AAI101-SB1 1,Introduction to Artificial Intelligence - Section B1,q_be08df00b0,What  specifically  did you appreciate about the instructor’s teaching?,The amount of back and fourth in regards to everything. I liked that we bounced off each-other.,amount back fourth regards everything liked bounced,Positive
